CATEGORY,BRAND,MODEL,MRP,TOTAL TENURE,ADVANCE EMI,DBD,PF,ROI,FIXED EMI,MIN L,MAX L,EXPIRY,,,,,,,,,,,,,
LAPTOP,ACER,NHD59SI001 77249,77249,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHD59SI002 87549,87549,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHD59SI002 87549,87549,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHD5ASI001 92699,92699,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHD5ASI001 92699,92699,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHD5ASI002 102999,102999,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHD5ASI002 102999,102999,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHD5ASI002 102999,102999,18,6,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQN8SI001 97849,97849,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQN8SI001 97849,97849,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQN8SI004 84459,84459,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQN8SI004 84459,84459,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQN8SI007 84459,84459,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQN8SI007 84459,84459,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQN8SI008 101969,101969,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQN8SI008 101969,101969,10,2,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQN8SI008 101969,101969,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQN8SI008 101969,101969,18,6,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQN9SI003 72099,72099,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQNHSI001 180249,180249,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQNHSI001 180249,180249,10,2,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQNHSI001 180249,180249,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQNHSI001 180249,180249,18,6,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQNJSI001 154499,154499,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQNJSI001 154499,154499,10,2,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQNJSI001 154499,154499,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQNJSI001 154499,154499,18,6,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NHQNPSI002 118449,118449,6,0,1.5,599,,,,,,,,,,,,,,,,,,
